Pos,2024,Title,Director,Year,Country,Mins
1,,The Texas Chain Saw Massacre,,1974,,
2,,The Exorcist,,1973,,
3,,Psycho,,1960,,
4,,Jaws,,1975,,
5,,Rosemary's Baby,,1968,,
6,,Night of the Living Dead,,1968,,
7,,Audition,,1999,,
8,,Frankenstein,,1931,,
9,,"Salò, or the 120 Days of Sodom",,1975,,
10,,Carrie,,1976,,
11,,Alien,,1979,,
12,,King Kong,,1933,,
13,,The Silence of the Lambs,,1991,,
14,,Nosferatu: A Symphony of Horror,,1922,,
15,,Don't Look Now,,1973,,
16,,Halloween,,1978,,
17,,Diabolique,,1955,,
18,,The Shining,,1980,,
19,,The Mummy,,1932,,
20,,Get Out,,2017,,
